plcy_no,name,lclsf,category,keyword,region,sub_region,source,source_url,ref_url2,raw_text,amount,deadline,registered_at,last_modified_at,collected_at,aply_prd_type,biz_prd_type,biz_start_ymd,biz_end_ymd,biz_prd_etc,age_min,age_max,age_limit_yn,earn_cnd,earn_min_amt,earn_max_amt,earn_etc,mrg_stts,job,school,major,special_target,pvmthd,pvmthd_group,sprt_scl_cnt,sprt_scl_lmt_yn,sprt_arvl_seq_yn,add_qlfc,exclude_target,apply_method,select_method,submit_docs,etc_matter,sprvsn_inst_nm,oper_inst_nm,rgtr_inst_nm,zip_cd,inq_cnt,aprvl_stts
11193,맞춤형 취업지원 프로그램 참여자 모집,일자리,,,경기도,하남시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11193,https://forms.gle/22N6MLxnnKPFKQ7e9,19~39세 청년 20명(회당) ※ 하남시 거주 및 활동 청년 우선 선발 - 6/16(화) 19:00-21:00 AI로 합격하는 포트폴리오 만들기 (비대면) - 6/17(수) 19:00-21:00 직장 내 갑질 및 성희롱 대처법 (비대면) - 6/22(월) 19:00-21:00 코딩(COS) 자격증 취득 과정과 공부 전략(비대면) - 6/23(화) 19:00-21:00 국내 IT 커머스 유니콘기업을 여럿 거치며 경험한 대기업 vs. 스타트업 (비대면) - 6/29(월) 13:00-15:00 상반기 채용 탈락 데이터로 내 강점 찾기 (대면) - 6/29(월) 15:30-17:30 나에게 맞는 향 찾기: 스트레스·집중·수면까지 바꾸는 아로마테라피 (대면) - 6/30(화) 19:00-21:00 스펙은 비슷한데 왜 나는 떨어질까? 합격률을 높이는 자기소개서 작성 전략 (비대면),,2026. 6.8.~ 6. 30.,,,2026-06-29,,,,,,19,39,,,,,,,,,,,,지자체,,,,19~39세 청년 20명(회당) ※ 하남시 거주 및 활동 청년 우선 선발,,온라인 신청(구글폼) 바로가기,,,,,,,,,
11186,원데이클래스_압화부채 만들기,금융복지,,,경기도,성남시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11186,,"성남시 거주/재직/재학 청년 (19세~39세 / 선착순 20명 DIY 키트 제공) 직접 꽃을 고르고 배치하며 나만의 취향을 담아 특별한 부채를 완성할 수 있습니다. 완성된 부채는 다가오는 여름철 실용적으로 사용할 수 있을 뿐만 아니라, 꽃의 아름다움을 오래 간직할 수 있는 특별한 소품이 됩니다. 처음 참여하는 분들도 쉽게 만들 수 있도록 제작 방법 안내가 함께 제공됩니다. 키트를 수령한 후 메인센터 공간에서 자유롭게 제작할 수 있으며, 청년이봄을 방문하신 청년 누구나 참여 가능합니다.",,2026. 6.4.~ 재고 소진 시,,,2026-06-29,,,,,,19,39,,,,,,,,,,,,지자체,,,,성남시 거주/재직/재학 청년 (19세~39세 / 선착순 20명 DIY 키트 제공),,"1. 청년이봄 메인센터 방문 2. 안내데스크에서 방문대장 작성 후 DIY 키트를 수령 3. 메인센터 공간에서 자유롭게 만든 후, 만족도 조사에 참여",,,,,,,,,
11180,청년이동상담 마인드톡톡,,,,경기도,김포시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11180,https://m.site.naver.com/1Z4sy,"김포시민 중 만 19세~34세 청년 정신건강상담（우울, 불안, 스트레스） 및 자기보고식 척도검사",,2026. 2.1.~ 11. 30.,,,2026-06-29,,,,,,19,34,,,,,,,,,,,,지자체,,,,김포시민 중 만 19세~34세 청년,,온라인 신청(네이버폼) 바로가기,,,,,,,,,
11178,소상공인 창업 아카데미 등용문(15기) 교육생 모집,일자리,,,경기도,안양시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11178,https://www.anyang.go.kr/amrc/selectBbsNttView.do?key=3887&bbsNo=1284&nttNo=446427&searchCtgry=&searchCnd=all&searchKrwd=&pageIndex=1&integrDeptCode=,"안양시 소재의 소상공인 및 (예비)창업자 [필수사항] 등용문 교육 전일(2일간 모두) 참석 가능한 자만 신청 가능 소상공인 재무관리, 점포 인테리어 비용 절감, 소상공인 노무관리, 우리 점포 홍보 방법 등 소상공인 경영개선 교육",,2026. 6.4.~ 7. 8.,,,2026-06-29,,,,,,,,,,,,,,,,,,,지자체,,,,안양시 소재의 소상공인 및 (예비)창업자 [필수사항] 등용문 교육 전일(2일간 모두) 참석 가능한 자만 신청 가능,,[방문접수] 안양시청 본관 7층 안양시상권활성화센터(평일 9시~17시) [이메일접수] amrc@korea.kr 바로가기,,,,,,,,,
11177,소상공인 컨설팅 및 창업자 지원 하반기 모집,일자리,,,경기도,안양시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11177,https://www.anyang.go.kr/amrc/selectBbsNttView.do?key=3887&bbsNo=1284&nttNo=446418&searchCtgry=&searchCnd=all&searchKrwd=&pageIndex=1&integrDeptCode=,"[소상공인 컨설팅] 안양시 소재 소상공인 및 (예비)창업자 20명 [창업자 지원(사업화 지원)] 컨설팅 수혜자 중 '창업자 지원' 후보자 선정 후 개별 통보 - 모집공고일인 2026. 6. 4.(목)기준 6개월 이내 창업자, 예비창업자 및 재창업자 [소상공인 컨설팅] 마케팅, 경영진단, 세무, 상품개발(메뉴개발) 등 1:1 맞춤 컨설팅 [창업자 지원(사업화 지원)] 시설구축, 홍보(광고), 판로개척 등 사업화 지원 - (창업 6개월 이내) 창업자 2명, 최대 3백만원 지원 - 예비창업자 및 재창업자 1명, 최대 1천만원 지원",,2026. 6.4.~ 6. 30.,,,2026-06-29,,,,,,,,,,,,,,,,,,,지자체,,,,"[소상공인 컨설팅] 안양시 소재 소상공인 및 (예비)창업자 20명 [창업자 지원(사업화 지원)] 컨설팅 수혜자 중 '창업자 지원' 후보자 선정 후 개별 통보 - 모집공고일인 2026. 6. 4.(목)기준 6개월 이내 창업자, 예비창업자 및 재창업자",,이메일 접수 | amrc@korea.kr 바로가기,,,,,,,,,
11156,재기발랄 자원봉사 동아리 모집,교육문화,,,경기도,화성시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11156,https://forms.gle/XpeLYdynfUZaoKHy5,"화성시 동탄2신도시에서 활동 가능한 누구나! 동아리 또는 개인 자원봉사활동 진행 ① 봉사활동 인증서 제공(봉사시간 인정) ② 복지관 프로그램실 무료 대관(본관(청계동), 영천센터, 산척센터) ③ 원데이 클래스(무료) 참여 기회 제공 ④ 우수 자원봉사자 표창 후보 등록(국회의원상, 시장상 등)",,2026. 3.12.~ 상시,,,2026-06-29,,,,,,,,,,,,,,,,,,,지자체,,,,화성시 동탄2신도시에서 활동 가능한 누구나!,,온라인 신청(구글폼) 바로가기,,,,,,,,,
11151,청년창업가 사무실 입주 모집,일자리,,,경기도,양주시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11151,https://www.yangju.go.kr/youth/eduLctreWebView.do?key=3180&eduLctreNo=12799&searchEduInsttNo&searchEduPlaceNo&searchEduSttus&searchRceptBgnde&searchRceptEndde&pageUnit=20&searchCnd=all&searchKrwd&pageIndex=1,"양주시에 거주하는 19세~39세 청년 초기 창업자 및 창업이 확실시되는 예비 창업자 - 사업계획서, 아이디어 구체화를 하고 싶은 예비창업자 - 임대료 부담을 덜고 비즈니스를 안정적으로 이끌어 가고싶은 초기 창업자 - 청년 커뮤니티를 필요로 하는 창업자 등 ① 업무·경영 활동에 최적화된 공간 지원 - 평일 9시~18시 사이 언제든 자유롭게 이용하는 오픈라운지 자유석 & 무거운 짐 보관용 개인 사물함 제공 - 초고속 와이파이, 고성능 복합기 및 필수 사무용품 지원 ② 비즈니스 스케일업을 위한 특화 시설 대관 - 제품 및 서비스를 멋지게 촬영할 상품 촬영실 대관 - 바이어 미팅, 팀 회의, 협업을 위한 회의실 지원 - 아이디어를 리프레시할 공유부엌 및 휴게실 이용 ③ 역량 강화 및 관계 확장을 위한 스페셜 베네핏 - 청년센터 마케팅·세무·노무 등 창업 프로그램 우선 참여 기회 제공 - 멤버십 회원 간의 정기적인 창업 청년 네트워킹 데이/밋업 참여 기회",,2026. 6.2.~ 상시모집,,,2026-06-29,,,,,,19,39,,,,,,,,,,,,지자체,,,,"양주시에 거주하는 19세~39세 청년 초기 창업자 및 창업이 확실시되는 예비 창업자 - 사업계획서, 아이디어 구체화를 하고 싶은 예비창업자 - 임대료 부담을 덜고 비즈니스를 안정적으로 이끌어 가고싶은 초기 창업자 - 청년 커뮤니티를 필요로 하는 창업자 등",,온라인 신청 바로가기,,,,,,,,,
11146,청년여성 서포터즈 W.W.C 모집,,,,경기도,수원시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11146,,,,,,,2026-06-29,,,,,,,,,,,,,,,,,,,지자체,,,,,,,,,,,,,,,
11141,청년무지개프로젝트-셀프케어,교육문화,,,경기도,고양시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11141,https://booking.naver.com/booking/12/bizes/306566/items/7718204?startDateTime=2026-06-01T00%3A00%3A00%2B09%3A00,"18~39세 고양시 거주/재학/재직 청년 근골격계질환 이론교육부터 체형교정, 다양한 부위별 마사지와 스트레칭 1. 특강일시 : 2026.6. 18. 19:00~21:00 2. 특강장소 : 내일꿈제작소 A동 4층 강당",,2026.6. 1. ~ 선착순 마감,,,2026-06-29,,,,,,18,39,,,,,,,,,,,,지자체,,,,18~39세 고양시 거주/재학/재직 청년,,온라인 신청 바로가기,,,,,,,,,
11140,AI 활용 자소서 작성법,일자리,,,경기도,고양시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11140,https://booking.naver.com/booking/12/bizes/306566/items/7704055?startDateTime=2026-06-01T00%3A00%3A00%2B09%3A00,"고양시 거주/재학/재직 18~39세 청년 주요 AI도구별 특징을 이해하고, 취업준비 효율성 극대화 1. 특강일시 : 2026.6. 9. 14:00~16:00 2. 특강장소 : 내일꿈제작소 A동 4층 강당",,2026.6. 1. ~ 선착순 마감,,,2026-06-29,,,,,,18,39,,,,,,,,,,,,지자체,,,,고양시 거주/재학/재직 18~39세 청년,,온라인 신청 바로가기,,,,,,,,,
11129,전산회계 2급과정 참여자 모집,금융복지,,,경기도,연천군,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11129,https://docs.google.com/forms/d/e/1FAIpQLSdXymYkhRxBoKyLXQRKvSdGUdrz1UnNEts75b-i82ts7boM-A/viewform,"연천군민,재직자, 사업자중 만19 ~ 만49세까지 [🧠 이론 30시간] 。기초 회계 원리 - 회계의 기초, 자산·부채·자본 개념, 재무상태표·손익계산서 작성 - 자본 관련 이론, 원가의 의의 및 분류 。재무 회계 - 원가 계산 흐름, 개별·종합 원가 계산 。기출 문제 풀이 - 부가가치세 과세 대상, 명세율과 면세 [💼 실무 30시간] 。기초정보관리 - 회사등록 및 전기제무제표 입력 。전표관리 - 일반전표 입력(1~3), 매입·매출 전표 입력(1~2) 。부가가치세 - 신고서 작성 。결산 - 수동·자동결산 자료 입력, 재무제표 작성 및 장부 조회",,2026. 5.26.~ 7. 6.,,,2026-06-29,,,,,,19,49,,,,,,,,,,,,지자체,,,,"연천군민,재직자, 사업자중 만19 ~ 만49세까지",,온라인 신청(구글폼) 바로가기,,,,,,,,,
11118,유튜브 크리에이터 특강,교육문화,,,경기도,남양주시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11118,https://naver.me/FQuVdbhW,"남양주시 거주하는 만 19~39세 청년（86~07년생）70명 [취미로 시작한 유튜브가 나만의 브랜드가 되기까지] - 취미로 시작한 유튜브, 어떻게 인생의 방향이 바뀌었나 - 나에게 맞는 유튜브 채널 주제 찾는 법 - 조회수보다 중요한 유튜브 성장 구조 - 콘텐츠 기반 부업과 크리에이터의 현실 - Q&A",,2026. 5.22.~ 마감시까지,,,2026-06-29,,,,,,19,39,,,,,,,,,,,,지자체,,,,남양주시 거주하는 만 19~39세 청년（86~07년생）70명,,온라인 신청(네이버폼) 바로가기,,,,,,,,,
11109,한세대학교 대학일자리플러스센터 캐치잡(Catch Job),일자리,,,경기도,군포시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11109,https://m.site.naver.com/263X1,"대학 4학년 재(휴)학생, 미취업 졸업생, 미취업 지역청년(15~34세) 취업특강 1회, 1:1 취업컨설팅 및 잡매칭, 사후관리",,2026. 6.1.~ 9. 30.,,,2026-06-29,,,,,,15,34,,,,,,,,,,,,지자체,,,,"대학 4학년 재(휴)학생, 미취업 졸업생, 미취업 지역청년(15~34세)",,온라인 신청(네이버폼) 바로가기,,,,,,,,,
11034,병역의무 이행 청년카드,,,,경기도,안산시,경기청년포털(시군),https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=11034,https://reserve.ansan.go.kr/svc/V02/admServiceView.do?pageIndex¤tMenuNo=729&resrId=RESR_000000000012949&linkYn=N&searchAgy&searchClsfCd=V02&searchRcptStat&searchBjd&searchDateGb=R&searchStDt&searchEndDt&searchValue,안산시 주민등록 만 39세 이하 현역 복무를 마친 제대 군인 안산시 설치·운영·관리 시설물의 사용료·수강료 등의 감경 또는 면제,,2026. 1.1.~ 12. 31. (상시모집),,,2026-06-29,,,,,,,,,,,,,,,,,,,지자체,,,,안산시 주민등록 만 39세 이하 현역 복무를 마친 제대 군인,,온라인 신청 바로가기,,,,,,,,,
